Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Switzerland	Commercial_banks	2000	87293	64559	41702	36118	7679	3039	7713	9889	12921	513862	789444	406255	212180	117377	NA	574444	778883	150559	313398	231	1922	109216
Switzerland	Commercial_banks	2001	84480	62071	35165	34616	10303	2049	4082	6524	30903	522478	805419	435038	239102	120527	NA	571746	826062	181924	332681	232	1907	105080
Switzerland	Commercial_banks	2002	62679	38726	31315	32595	12745	1659	6216	2053	14222	505425	795514	412989	319562	118996	NA	536423	812689	186055	393547	227	1842	102639
Switzerland	Commercial_banks	2003	56756	33477	27870	31194	5964	2319	6485	5187	13085	594147	772510	453468	187633	119973	NA	617954	844733	157400	280784	217	1862	97554
Switzerland	Commercial_banks	2004	56974	35989	33433	33005	4189	2927	8051	6246	14036	682461	829840	523095	222015	123296	NA	700807	908990	176838	361513	215	1847	100140
Switzerland	Commercial_banks	2005	78051	53194	43763	36773	4324	4296	9089	14138	13920	785814	938464	650183	231373	136177	NA	783463	1071233	229849	399030	215	1933	103747
Switzerland	Commercial_banks	2006	109139	86884	46031	40941	4461	4440	8720	9724	14020	846251	1119207	733616	238940	141002	NA	889697	1231651	275700	413980	209	1924	111880
Switzerland	Commercial_banks	2007	140889	117351	45348	43676	14832	2688	7416	273	22978	966997	1215956	730362	249262	140376	NA	875229	1365222	333967	470760	209	1989	119454
Switzerland	Commercial_banks	2008	107749	85174	21566	36850	39102	77	4459	-36350	118993	780154	1085614	480323	328644	140652	NA	686623	1230336	306929	429187	206	1944	117874
Switzerland	Commercial_banks	2009	51073	33005	31792	38606	8876	1313	6942	-5877	84367	559855	1070116	507270	151720	137375	NA	468216	1216965	335461	215311	207	1650	88737
Turkey	Commercial_banks	1999	21107.851	16664.537	850.643	3067.649	1823.388	1017.901	351.208	-966.189	1924.016	8321.036	18365.251	15463.486	23465.764	3409.637	314.865	12562.171	43198.066	214.594	7840.22	51	7605	167551
Turkey	Commercial_banks	2000	21739.443	17362.471	471.004	5110.985	2657.688	584.407	243.13	-3748.234	2161.048	14983.443	29560.78	21984.197	29142.956	5821.9	588.288	22476.884	58663.266	221.172	10060.914	51	7786	163922
Turkey	Commercial_banks	2001	60365.982	41060.373	-9041.989	8289.233	9725.599	561.629	193.344	-8506.185	4613.806	24177.356	34116.686	65775.909	34496.437	16114.945	340.093	24574.439	109662.2	447.125	12041.392	38	6843	132813
Turkey	Commercial_banks	2002	43701.974	31677.086	232.417	4232.319	4696.624	921.068	NA	NA	4453.339	12603.419	44046.414	84903.344	54539.967	22218.291	143.668	17877.642	136781.862	255.506	23269.514	29	6132	116790
Turkey	Commercial_banks	2003	38128.475	27909.754	5361.813	4912.921	3360.029	2210.789	NA	NA	4921.604	12474.624	60472.959	105312.212	53688.186	30796.74	17.202	21939.322	154343.051	0	29773.27	27	6011	117048
Turkey	Commercial_banks	2004	40590.581	23290.342	417.462	5486.29	3547.782	2571.113	NA	NA	7637.157	16941.215	93852.284	121595.965	53272.805	40535.456	7.325	29391.717	190909.745	0	32455.183	28	6177	122220
Turkey	Commercial_banks	2005	43794.538	25102.236	2630.153	6534.379	6353.89	3210.929	NA	NA	15103.584	23188.287	150280.354	139788.384	63450.686	48095.748	30.046	49323.374	251328.891	0	43033.236	31	6524	133227
Turkey	Commercial_banks	2006	56431.156	35318.836	4178.035	7399.728	4268.383	2992.416	NA	NA	20771.002	34808.632	211521.641	156225.853	58417.706	51526.509	34.964	64659.273	307367.26	0	58156.828	30	7251	145340
